Lbc_km,Y0,ed,N,mu,nu,omega,p_mu,p_nu,p_omega,key_rate
20,2.6962027561588534e-06,0.012785109638471027,13866172460797,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012950302018116363
20,3.693026326089593e-08,0.01673171159535941,600230992598,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012099300819641383
20,1.861438378876404e-06,0.011832053552182815,14395770456144,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013164728413331973
20,1.6827467314315083e-08,0.0056696135813661865,54595686273262,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014666730237813997
20,2.874056504841301e-07,0.01851607099473357,60135788184128,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011731227651950022
20,9.98926322692164e-07,0.013576952391402119,73100026841,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012775058419396489
20,1.9073423767129547e-08,0.017290913226234095,35899489308660,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011982933166583977
20,2.1786483225687076e-06,0.015477536490974372,479120181173,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012363795548391687
20,8.240143408739212e-08,0.006701673434565635,505686072196,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01439776309745893
20,4.989292009523775e-07,0.018843208747062686,55337441684918,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011664739218429032
20,1.765727128859833e-07,0.006488164821471435,12453027004933,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014452685289574203
20,1.5952840570767142e-06,0.005460512689278592,612173317843,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014722324073031699
20,1.1461839240086284e-06,0.005452013518284049,47547689021581,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01472460181725892
20,7.70419842192053e-06,0.0158381415813326,20613614911,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012286951106544909
20,1.6255053290699884e-08,0.010388799722318553,13107203161,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013497159909741735
